problem;method;seed;is_train_solved;is_test_solved;train_error;test_error;generation
CO;Rand+Mixed;1012;True;True;0.0;0.0;126
CO;Rand+Mixed;1013;False;False;591.0;8065.0;300
CO;Rand+Mixed;1014;True;True;0.0;0.0;266
CO;Rand+Mixed;1015;False;False;1253.0;19562.0;300
CO;Rand+Mixed;1016;False;False;1344.0;17015.0;300
CO;Rand+Mixed;1017;False;False;99.0;1104.0;300
CO;Rand+Mixed;1018;True;True;0.0;0.0;280
CO;Rand+Mixed;1019;True;True;0.0;0.0;199
CO;Rand+Mixed;1020;True;True;0.0;0.0;275
CO;Rand+Mixed;1021;False;False;1207.0;24133.0;300
CO;Adapt+Mixed;1001;False;False;1055.0;13490.0;300
CO;Adapt+Mixed;1002;True;True;0.0;0.0;217
CO;Adapt+Mixed;1003;True;True;0.0;0.0;96
CO;Adapt+Mixed;1004;True;True;0.0;0.0;62
CO;Adapt+Mixed;1005;False;False;1180.0;13933.0;300
CO;Adapt+Mixed;1006;False;False;915.0;12685.0;300
CO;Adapt+Mixed;1007;True;True;0.0;0.0;92
CO;Adapt+Mixed;1008;True;True;0.0;0.0;135
CO;Adapt+Mixed;1009;False;False;1.0;1.0;300
CO;Adapt+Mixed;1010;True;True;0.0;0.0;33
CO;Adapt+Mixed;1011;True;True;0.0;0.0;86
CO;Adapt+Mixed;1012;True;True;0.0;0.0;114
CO;Adapt+Mixed;1013;True;True;0.0;0.0;101
CO;Adapt+Mixed;1014;True;True;0.0;0.0;102
CO;Adapt+Mixed;1015;False;False;789.0;11660.0;300
CO;Adapt+Mixed;1016;False;False;1004.0;13608.0;300
CO;Adapt+Mixed;1017;True;True;0.0;0.0;242
CO;Adapt+Mixed;1018;True;True;0.0;0.0;83
CO;Adapt+Mixed;1019;False;False;1281.0;19894.0;300
CO;Adapt+Mixed;1020;True;True;0.0;0.0;278
CO;Adapt+Mixed;1021;True;True;0.0;0.0;72
MD;None;1001;False;False;10.0;184.0;300
MD;None;1002;True;True;0.0;0.0;222
MD;None;1003;False;False;7.0;149.0;300
MD;None;1004;False;False;2.0;161.0;300
MD;None;1005;False;False;6.0;129.0;300
MD;None;1006;True;True;0.0;0.0;61
MD;None;1007;False;False;10.0;208.0;300
MD;None;1008;False;False;34.0;531.0;300
MD;None;1009;False;False;11.0;160.0;300
MD;None;1010;True;True;0.0;0.0;291
MD;None;1011;False;False;10.0;235.0;300
MD;None;1012;False;False;8.0;193.0;300
MD;None;1013;False;False;8.0;238.0;300
MD;None;1014;False;False;10.0;129.0;300
MD;None;1015;True;True;0.0;0.0;238
MD;None;1016;False;False;9.0;195.0;300
MD;None;1017;False;False;13.0;147.0;300
MD;None;1018;False;False;16.0;189.0;300
MD;None;1019;False;False;5.0;198.0;300
MD;None;1020;False;False;7.0;121.0;300
MD;None;1021;True;True;0.0;0.0;61
MD;Rand+Tested-bad;1001;False;False;59.0;855.0;300
MD;Rand+Tested-bad;1002;False;False;55.0;745.0;300
MD;Rand+Tested-bad;1003;False;False;12.0;220.0;300
MD;Rand+Tested-bad;1004;False;False;63.0;727.0;300
MD;Rand+Tested-bad;1005;False;False;70.0;1105.0;300
MD;Rand+Tested-bad;1006;False;False;35.0;424.0;300
MD;Rand+Tested-bad;1007;False;False;28.0;357.0;300
MD;Rand+Tested-bad;1008;False;False;8.0;199.0;300
MD;Rand+Tested-bad;1009;False;False;41.0;530.0;300
MD;Rand+Tested-bad;1010;False;False;97.0;1137.0;300
MD;Rand+Tested-bad;1011;False;False;59.0;600.0;300
MD;Rand+Tested-bad;1012;False;False;58.0;534.0;300
MD;Rand+Tested-bad;1013;False;False;72.0;1095.0;300
MD;Rand+Tested-bad;1014;False;False;93.0;1170.0;300
MD;Rand+Tested-bad;1015;False;False;20.0;182.0;300
MD;Rand+Tested-bad;1016;False;False;92.0;1103.0;300
MD;Rand+Tested-bad;1017;False;False;80.0;744.0;300
MD;Rand+Tested-bad;1018;False;False;62.0;716.0;300
MD;Rand+Tested-bad;1019;False;False;79.0;883.0;300
MD;Rand+Tested-bad;1020;False;False;68.0;865.0;300
MD;Rand+Tested-bad;1021;False;False;61.0;738.0;300
MD;Rand+Tested-good;1001;True;True;0.0;0.0;18
MD;Rand+Tested-good;1002;True;True;0.0;0.0;233
MD;Rand+Tested-good;1003;True;True;0.0;0.0;193
MD;Rand+Tested-good;1004;True;True;0.0;0.0;9
MD;Rand+Tested-good;1005;True;True;0.0;0.0;33
MD;Rand+Tested-good;1006;True;True;0.0;0.0;21
MD;Rand+Tested-good;1007;True;True;0.0;0.0;86
MD;Rand+Tested-good;1008;False;False;6.0;234.0;300
MD;Rand+Tested-good;1009;False;False;4.0;68.0;300
MD;Rand+Tested-good;1010;True;True;0.0;0.0;57
MD;Rand+Tested-good;1011;True;True;0.0;0.0;155
MD;Rand+Tested-good;1012;True;True;0.0;0.0;106
MD;Rand+Tested-good;1013;True;True;0.0;0.0;166
MD;Rand+Tested-good;1014;True;True;0.0;0.0;22
MD;Rand+Tested-good;1015;False;False;4.0;111.0;300
MD;Rand+Tested-good;1016;True;True;0.0;0.0;18
MD;Rand+Tested-good;1017;True;False;0.0;2.0;54
MD;Rand+Tested-good;1018;True;True;0.0;0.0;148
MD;Rand+Tested-good;1019;False;False;5.0;189.0;300
MD;Rand+Tested-good;1020;True;True;0.0;0.0;43
MD;Rand+Tested-good;1021;True;False;0.0;36.0;23
MD;Rand+Mixed;1001;True;True;0.0;0.0;49
MD;Rand+Mixed;1002;True;True;0.0;0.0;101
MD;Rand+Mixed;1003;True;True;0.0;0.0;241
MD;Rand+Mixed;1004;True;True;0.0;0.0;200
MD;Rand+Mixed;1005;True;True;0.0;0.0;282
MD;Rand+Mixed;1006;True;True;0.0;0.0;109
MD;Rand+Mixed;1007;True;True;0.0;0.0;115
MD;Rand+Mixed;1008;True;True;0.0;0.0;209
MD;Rand+Mixed;1009;False;False;18.0;157.0;300
MD;Rand+Mixed;1010;True;True;0.0;0.0;265
MD;Rand+Mixed;1011;True;True;0.0;0.0;98
MD;Rand+Mixed;1012;True;True;0.0;0.0;131
MD;Rand+Mixed;1013;True;True;0.0;0.0;39
MD;Rand+Mixed;1014;False;False;6.0;125.0;300
MD;Rand+Mixed;1015;True;True;0.0;0.0;52
MD;Rand+Mixed;1016;True;True;0.0;0.0;8
MD;Rand+Mixed;1017;True;True;0.0;0.0;40
MD;Rand+Mixed;1018;False;False;29.0;206.0;300
MD;Rand+Mixed;1019;True;True;0.0;0.0;113
MD;Rand+Mixed;1020;False;False;14.0;180.0;300
MD;Rand+Mixed;1021;True;True;0.0;0.0;10
MD;Adapt+Mixed;1001;True;True;0.0;0.0;26
MD;Adapt+Mixed;1002;True;True;0.0;0.0;96
MD;Adapt+Mixed;1003;True;True;0.0;0.0;148
MD;Adapt+Mixed;1004;True;True;0.0;0.0;68
MD;Adapt+Mixed;1005;True;True;0.0;0.0;21
MD;Adapt+Mixed;1006;True;True;0.0;0.0;31
MD;Adapt+Mixed;1007;True;True;0.0;0.0;52
MD;Adapt+Mixed;1008;True;True;0.0;0.0;32
MD;Adapt+Mixed;1009;True;True;0.0;0.0;18
MD;Adapt+Mixed;1010;True;True;0.0;0.0;18
MD;Adapt+Mixed;1011;True;True;0.0;0.0;31
MD;Adapt+Mixed;1012;True;True;0.0;0.0;15
MD;Adapt+Mixed;1013;True;True;0.0;0.0;44
MD;Adapt+Mixed;1014;True;True;0.0;0.0;92
MD;Adapt+Mixed;1015;True;True;0.0;0.0;30
MD;Adapt+Mixed;1016;True;True;0.0;0.0;16
MD;Adapt+Mixed;1017;True;True;0.0;0.0;77
MD;Adapt+Mixed;1018;False;False;10.0;151.0;300
MD;Adapt+Mixed;1019;True;True;0.0;0.0;86
MD;Adapt+Mixed;1020;True;True;0.0;0.0;71
MD;Adapt+Mixed;1021;True;True;0.0;0.0;14
